,INMATE ADMISSION DATE,counts
0,1921,1
1,1924,2
2,1925,3
3,1926,1
4,1927,3
5,1928,4
6,1929,2
7,1930,3
8,1931,6
9,1932,3
10,1933,5
11,1934,6
12,1935,10
13,1936,5
14,1937,3
15,1938,13
16,1939,6
17,1940,5
18,1941,7
19,1942,9
20,1943,8
21,1944,5
22,1945,16
23,1946,19
24,1947,18
25,1948,15
26,1949,23
27,1950,31
28,1951,20
29,1952,39
30,1953,36
31,1954,45
32,1955,51
33,1956,42
34,1957,49
35,1958,59
36,1959,94
37,1960,111
38,1961,97
39,1962,139
40,1963,146
41,1964,170
42,1965,234
43,1966,254
44,1967,437
45,1968,681
46,1969,900
47,1970,1197
48,1971,1720
49,1972,3294
50,1973,5461
51,1974,5544
52,1975,5814
53,1976,5608
54,1977,5372
55,1978,4498
56,1979,4634
57,1980,4806
58,1981,5386
59,1982,5840
60,1983,5725
61,1984,5695
62,1985,6214
63,1986,6731
64,1987,6179
65,1988,6507
66,1989,7547
67,1990,8146
68,1991,9510
69,1992,10683
70,1993,11060
71,1994,10089
72,1995,7988
73,1996,7607
74,1997,8627
75,1998,9481
76,1999,8796
77,2000,9021
78,2001,9334
79,2002,9422
80,2003,9518
81,2004,10894
82,2005,11378
83,2006,12518
84,2007,13030
85,2008,14707
86,2009,15351
87,2010,15092
88,2011,15211
89,2012,11480
90,2013,11769
91,2014,12101
92,2015,11803
93,2016,11579
94,2017,13390
95,2018,12746
96,2019,13102
97,2020,9386
98,2021,11160
99,2022,13620
100,2023,8651
